race_id,horse_number,finish_position,target,pred,pred_class
202401020801,1,7.0,0,0.05469859960973543,0
202401020801,2,5.0,0,0.4215220948165286,1
202401020801,3,4.0,0,0.3346180731136402,0
202401020801,4,2.0,1,0.3808476805417663,1
202401020801,5,8.0,0,0.03466096855934717,0
202401020801,6,9.0,0,0.03637184166873331,0
202401020801,7,12.0,0,0.014216430186863376,0
202401020801,8,1.0,1,0.8774632031716891,1
202401020801,9,11.0,0,0.03060781766169964,0
202401020801,10,10.0,0,0.23309210641599473,0
202401020801,11,3.0,1,0.27976982840601017,0
202401020801,12,6.0,0,0.1712989983405048,0
202401020802,1,4.0,0,0.41398145461061014,0
202401020802,2,1.0,1,0.044963403658178185,0
202401020802,3,11.0,0,0.06526980128837584,0
202401020802,4,5.0,0,0.08555148735158201,0
202401020802,5,6.0,0,0.16473489963339838,0
202401020802,6,12.0,0,0.7672407597023113,1
202401020802,7,2.0,1,0.15131466948114025,0
202401020802,8,10.0,0,0.022858087842527186,0
202401020802,9,3.0,1,0.5112752673731116,1
202401020802,10,7.0,0,0.6516132675179855,1
202401020802,11,8.0,0,0.17973755160196955,0
202401020802,12,9.0,0,0.014262702366590515,0
202401020803,1,2.0,1,0.39661001507446086,0
202401020803,2,1.0,1,0.3035144897916058,0
202401020803,3,7.0,0,0.14063296317171933,0
202401020803,4,4.0,0,0.425127923112687,1
202401020803,5,9.0,0,0.1836191613888892,0
202401020803,6,13.0,0,0.033810620834826735,0
202401020803,7,11.0,0,0.07781641869932987,0
202401020803,8,12.0,0,0.04358829995800971,0
202401020803,9,14.0,0,0.07817988284435494,0
202401020803,10,3.0,1,0.5580011281045075,1
202401020803,11,8.0,0,0.5268614834311559,1
202401020803,12,10.0,0,0.10941699690823821,0
202401020803,13,5.0,0,0.2422771850388753,0
202401020803,14,6.0,0,0.12181979428363979,0
202401020804,1,15.0,0,0.0242643980180809,0
202401020804,2,14.0,0,0.0955135767107784,0
202401020804,3,9.0,0,0.21965662650128764,0
202401020804,4,1.0,1,0.15275530319099717,0
202401020804,5,6.0,0,0.14340247299995973,0
202401020804,6,11.0,0,0.057286845957755156,0
202401020804,7,12.0,0,0.16926229943334162,0
